treatment,platform,workload,run_id,peak_pss_mb,allocation_rate_mb_s,gc_p99_ms,fault_rate_s,input_p99_ms,controller_cpu_pct
G0I0R0C0,arm64-linux-proxy,switch-burst,1,19.966797,1028.1996946610761,0.800503,230927.78177716804,0.063065,0.0
G0I0R0C0,arm64-linux-proxy,switch-burst,2,19.978516,1046.1832781036214,0.832061,234603.12421605026,0.028603,0.0
G0I0R0C0,arm64-linux-proxy,switch-burst,3,19.970703,1112.5164310201214,0.788064,248403.56641013717,0.021953,0.0
G0I0R0C1,arm64-linux-proxy,switch-burst,1,12.662109,1365.7479388436468,0.803558,16232.998383137385,0.019089,0.8311854930731277
G0I0R0C1,arm64-linux-proxy,switch-burst,2,12.681641,1382.4928750172853,0.795235,16811.288483546905,0.016074,0.6719005811478775
G0I0R0C1,arm64-linux-proxy,switch-burst,3,12.708984,1387.4683529589233,0.772721,17890.70313871088,0.01982,0.5792186136011372
G0I0R1C0,arm64-linux-proxy,switch-burst,1,12.216797,1360.0588834978264,0.82539,0.0,0.022964,0.0
G0I0R1C0,arm64-linux-proxy,switch-burst,2,12.216797,1414.3428162316445,0.796727,0.0,0.022203,0.0
G0I0R1C0,arm64-linux-proxy,switch-burst,3,12.216797,1414.337067149982,0.808414,0.0,0.017967,0.0
G0I0R1C1,arm64-linux-proxy,switch-burst,1,12.220703,1379.504443240213,0.79203,0.0,0.002504,0.028560914602088174
G0I0R1C1,arm64-linux-proxy,switch-burst,2,12.220703,1385.6978323474311,0.7851,0.0,0.015263,0.029802785845937266
G0I0R1C1,arm64-linux-proxy,switch-burst,3,12.220703,1401.0957866002534,0.78569,0.0,0.002544,0.027176827146726812
G0I1R0C0,arm64-linux-proxy,switch-burst,1,21.595703,1653.8827763398551,0.813723,135167.0089771169,0.052448,0.0
G0I1R0C0,arm64-linux-proxy,switch-burst,2,21.630859,1694.078469229636,0.826762,117636.40044632499,0.10622,0.0
G0I1R0C0,arm64-linux-proxy,switch-burst,3,21.681641,1734.248928959004,0.811239,110921.3294909806,0.048683,0.0
G0I1R0C1,arm64-linux-proxy,switch-burst,1,18.712891,1851.5450841874106,0.822636,57.89232456034976,0.211167,0.32440542990637594
G0I1R0C1,arm64-linux-proxy,switch-burst,2,18.712891,1763.4273450989142,0.833343,0.0,0.799642,0.3090244502686022
G0I1R0C1,arm64-linux-proxy,switch-burst,3,18.712891,1806.8917499834322,0.931039,0.0,0.096685,0.3091809796863999
G0I1R1C0,arm64-linux-proxy,switch-burst,1,18.712891,1886.244076768413,0.857959,0.0,0.058027,0.0
G0I1R1C0,arm64-linux-proxy,switch-burst,2,18.712891,1882.6721898007072,0.888705,0.0,0.055764,0.0
G0I1R1C0,arm64-linux-proxy,switch-burst,3,18.712891,1941.1544257840696,0.83191,0.0,0.036235,0.0
G0I1R1C1,arm64-linux-proxy,switch-burst,1,18.716797,1861.6985724823508,0.855936,53.81612279375423,0.369376,0.015396792731293085
G0I1R1C1,arm64-linux-proxy,switch-burst,2,18.716797,1895.0000037262237,0.823298,0.0,0.088113,0.014912250928731047
G0I1R1C1,arm64-linux-proxy,switch-burst,3,18.716797,1881.0769705458524,0.810578,0.0,0.062323,0.01273264623357361
G1I0R0C0,arm64-linux-proxy,switch-burst,1,18.716797,789.4995322480434,0.828975,0.0,0.74495,0.0
G1I0R0C0,arm64-linux-proxy,switch-burst,2,18.720703,797.8164993560968,0.927204,0.0,0.004467,0.0
G1I0R0C0,arm64-linux-proxy,switch-burst,3,18.724609,663.2060754744294,1.373624,0.0,0.560993,0.0
G1I0R0C1,arm64-linux-proxy,switch-burst,1,18.724609,906.0153992379261,0.840183,0.0,0.004176,0.5198681514546912
G1I0R0C1,arm64-linux-proxy,switch-burst,2,18.724609,934.4405727926654,0.837058,0.0,0.015032,0.5176044813544692
