data_status,synthetic,study_scope,treatment,G,I,R,C,run,seed,started_utc,ended_utc,elapsed_s,peak_rss_kib,pss_kib,private_clean_kib,allocated_bytes,allocation_rate_mib_s,gc_p99_ms,minor_faults,major_faults,fault_rate_s,input_p99_ms,controller_cpu_percent,iterations,device_id,kernel,collector_sha256,evidence_label,measurement_class,experiment_result_status,target_environment,environment_source,provenance_verification
observed,False,research_actual_sage_mm,G0I0R0C0,0,0,0,0,1,2026090501,2026-09-05T07:08:55.963277Z,2026-09-05T07:08:55.973287Z,0.008669377,21120,20446,3600,9346850,1028.1996946610761,0.800503,2002,0,230927.78177716804,0.063065,0.0,700,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R0C0,0,0,0,0,2,2026090502,2026-09-05T07:08:55.973477Z,2026-09-05T07:08:55.983225Z,0.008486673,21200,20458,3608,9309903,1046.1832781036214,0.832061,1991,0,234603.12421605026,0.028603,0.0,700,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R0C0,0,0,0,0,3,2026090503,2026-09-05T07:08:55.983398Z,2026-09-05T07:08:55.992629Z,0.00799908,21208,20450,3608,9331391,1112.5164310201214,0.788064,1987,0,248403.56641013717,0.021953,0.0,700,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R0C1,0,0,0,1,1,2026090502,2026-09-05T07:08:55.992811Z,2026-09-05T07:08:56.000976Z,0.007145938,21208,12966,3612,10233630,1365.7479388436468,0.803558,116,0,16232.998383137385,0.019089,0.8311854930731277,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R0C1,0,0,0,1,2,2026090503,2026-09-05T07:08:56.001132Z,2026-09-05T07:08:56.009204Z,0.007078577,21208,12986,3612,10261451,1382.4928750172853,0.795235,119,0,16811.288483546905,0.016074,0.6719005811478775,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R0C1,0,0,0,1,3,2026090504,2026-09-05T07:08:56.009354Z,2026-09-05T07:08:56.017381Z,0.007042764,21208,13014,3612,10246278,1387.4683529589233,0.772721,126,0,17890.70313871088,0.01982,0.5792186136011372,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C0,0,0,1,0,1,2026090511,2026-09-05T07:08:56.017537Z,2026-09-05T07:08:56.025789Z,0.00719978,21208,12510,3612,10267787,1360.0588834978264,0.82539,0,0,0.0,0.022964,0.0,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C0,0,0,1,0,2,2026090512,2026-09-05T07:08:56.025946Z,2026-09-05T07:08:56.033827Z,0.00690094,21208,12510,3612,10234411,1414.3428162316445,0.796727,0,0,0.0,0.022203,0.0,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C0,0,0,1,0,3,2026090513,2026-09-05T07:08:56.033975Z,2026-09-05T07:08:56.041887Z,0.006911046,21208,12510,3612,10249357,1414.337067149982,0.808414,0,0,0.0,0.017967,0.0,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C1,0,0,1,1,1,2026090512,2026-09-05T07:08:56.042047Z,2026-09-05T07:08:56.050756Z,0.007720341,21208,12514,3612,11167591,1379.504443240213,0.79203,0,0,0.0,0.002504,0.028560914602088174,840,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C1,0,0,1,1,2,2026090513,2026-09-05T07:08:56.050903Z,2026-09-05T07:08:56.059612Z,0.007697267,21208,12514,3612,11184202,1385.6978323474311,0.7851,0,0,0.0,0.015263,0.029802785845937266,840,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I0R1C1,0,0,1,1,3,2026090514,2026-09-05T07:08:56.059781Z,2026-09-05T07:08:56.068373Z,0.007627822,21208,12514,3612,11206456,1401.0957866002534,0.78569,0,0,0.0,0.002544,0.027176827146726812,840,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I1R0C0,0,1,0,0,1,2026090601,2026-09-05T07:08:56.068517Z,2026-09-05T07:08:56.087607Z,0.017755812,22828,22114,3612,30792516,1653.8827763398551,0.813723,2400,0,135167.0089771169,0.052448,0.0,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
observed,False,research_actual_sage_mm,G0I1R0C0,0,1,0,0,2,2026090602,2026-09-05T07:08:56.087812Z,2026-09-05T07:08:56.106393Z,0.017307568,22836,22150,3612,30744645,1694.078469229636,0.826762,2036,0,117636.40044632499,0.10622,0.0,770,bb2498ecbe619967,6.18.35,413a1d7e0a574cfc9e6d8e4f689e2a802701cfd26be6b8be85383971bf00fa5e,observed / SAGE-MM 실증,actually_measured,actual_experimental_result,DTV Mono/.NET6,user-specified,partial
