simulation,treatment,run_id,seed,peak_pss_index,allocation_index,gc_p99_index,fault_rate_index,input_p99_index,controller_cpu_index
true,G0I0R0C0,1,20260829,98.5448,98.6210,103.3771,96.2077,105.6858,0.0855
true,G0I0R0C0,2,20260829,102.0307,103.2501,106.3091,103.8424,98.7757,0.0000
true,G0I0R0C0,3,20260829,97.6344,101.1872,101.5011,99.7800,95.3374,0.0000
true,G0I0R0C0,4,20260829,102.6973,97.9787,99.9984,98.6205,100.0021,0.0000
true,G0I0R0C0,5,20260829,99.1014,102.3621,102.5059,97.2286,101.6099,0.0000
true,G0I0R0C0,6,20260829,98.1125,98.1766,98.3084,110.9637,96.5407,0.0000
true,G0I0R0C0,7,20260829,100.7444,100.0700,101.0277,98.9951,99.2090,0.0213
true,G0I0R0C0,8,20260829,99.3360,100.0943,97.3085,97.3897,97.3029,0.0000
true,G0I0R0C0,9,20260829,100.6517,100.1231,99.0970,100.0987,100.5972,0.0000
true,G0I0R0C0,10,20260829,99.1963,102.5574,99.1342,110.2522,99.3274,0.0000
true,G0I0R0C0,11,20260829,101.5303,98.2294,104.1514,92.4729,100.2614,0.0575
true,G0I0R0C0,12,20260829,99.5903,103.2750,103.4195,101.5431,101.2518,0.0569
true,G0I0R0C0,13,20260829,99.9478,100.8538,94.0710,96.6137,101.3730,0.0000
true,G0I0R0C0,14,20260829,101.7707,98.4266,100.4446,104.1046,97.6249,0.0319
true,G0I0R0C0,15,20260829,98.8720,102.5044,99.2330,85.9781,105.2019,0.0229
true,G0I0R0C0,16,20260829,100.1817,98.4051,98.5475,104.9727,100.0126,0.0000
true,G0I0R0C0,17,20260829,100.3121,102.9630,99.2339,95.7094,100.0537,0.1924
true,G0I0R0C0,18,20260829,101.2468,99.6633,99.3364,111.7362,103.8056,0.0096
true,G0I0R0C0,19,20260829,101.3100,97.0820,96.5459,107.1900,96.9512,0.0000
true,G0I0R0C0,20,20260829,100.0225,98.2805,102.1681,101.7509,98.7995,0.0668
true,G0I0R0C0,21,20260829,100.7737,101.1073,98.0014,97.3430,99.8036,0.0000
true,G0I0R0C0,22,20260829,101.0372,98.5399,98.7320,97.5130,97.2124,0.0071
true,G0I0R0C0,23,20260829,96.6191,104.5921,102.2873,83.3237,102.5439,0.0000
true,G0I0R0C0,24,20260829,100.0736,102.8064,100.9798,106.2752,100.1396,0.0000
true,G0I0R0C0,25,20260829,96.1465,99.2150,98.7791,111.3668,103.1559,0.0000
true,G0I0R0C0,26,20260829,101.8630,100.1768,100.9048,99.4988,98.5659,0.0000
true,G0I0R0C0,27,20260829,99.9270,99.6410,98.0570,94.3197,103.0198,0.0000
true,G0I0R0C0,28,20260829,101.7953,101.9050,102.1663,88.3248,99.2798,0.0000
true,G0I0R0C0,29,20260829,101.4721,97.1393,98.7757,88.4830,97.3011,0.1916
true,G0I0R0C0,30,20260829,101.5248,98.1374,100.7032,90.9258,101.6095,0.0049
true,G0I0R0C1,1,20260829,97.6854,100.2905,93.3888,109.5085,91.8499,1.0154
true,G0I0R0C1,2,20260829,97.5448,104.0105,91.1138,91.6014,91.3820,1.0363
true,G0I0R0C1,3,20260829,97.2952,95.8561,87.1803,105.2216,90.0802,1.0180
true,G0I0R0C1,4,20260829,100.8860,103.6334,90.7171,93.3845,89.9734,0.9600
true,G0I0R0C1,5,20260829,100.0204,100.6554,87.8562,105.1919,93.6640,0.9862
true,G0I0R0C1,6,20260829,93.2074,100.4938,91.3854,99.0517,92.4424,1.0375
true,G0I0R0C1,7,20260829,98.9384,98.6816,93.4762,103.2812,93.3024,0.9305
true,G0I0R0C1,8,20260829,99.2652,99.5239,91.7061,110.3615,92.2573,0.9404
true,G0I0R0C1,9,20260829,97.7444,98.9159,90.5914,94.0202,92.6767,0.9278
true,G0I0R0C1,10,20260829,100.7306,100.7609,89.7862,86.8355,87.4696,1.1383
true,G0I0R0C1,11,20260829,98.2117,95.0245,93.2007,98.7719,91.2163,0.9828
true,G0I0R0C1,12,20260829,93.7194,96.5947,87.0009,109.0869,93.2770,0.8939
true,G0I0R0C1,13,20260829,98.7521,102.0458,86.9844,102.0739,92.5309,1.0262
true,G0I0R0C1,14,20260829,97.5427,100.3195,89.5783,90.8154,90.0719,0.9080
true,G0I0R0C1,15,20260829,94.5605,94.3823,90.1895,112.3730,90.4778,1.1285
true,G0I0R0C1,16,20260829,98.9095,99.1383,92.0827,103.9489,95.9260,0.9578
true,G0I0R0C1,17,20260829,98.3623,98.3709,88.2765,89.7761,91.4706,1.0229
true,G0I0R0C1,18,20260829,97.8651,100.3468,88.4709,112.5845,91.2528,0.9033
true,G0I0R0C1,19,20260829,101.1397,103.2774,89.8564,98.8076,96.1006,1.0582
true,G0I0R0C1,20,20260829,99.6698,101.4314,87.4808,104.2703,94.1879,1.0039
true,G0I0R0C1,21,20260829,101.9974,100.0418,85.5686,96.8919,93.9978,0.8106
true,G0I0R0C1,22,20260829,97.9837,100.2408,92.7577,105.2630,91.0975,1.0119
true,G0I0R0C1,23,20260829,98.4006,101.8901,96.7601,97.4850,91.5999,1.0556
true,G0I0R0C1,24,20260829,100.6987,99.7534,89.6750,98.9928,93.4181,0.9656
true,G0I0R0C1,25,20260829,99.6312,97.9795,89.1391,95.3257,94.0964,1.0627
true,G0I0R0C1,26,20260829,98.5090,103.3233,88.6550,107.7885,92.6131,1.0204
true,G0I0R0C1,27,20260829,97.0592,104.1009,89.7267,104.4345,90.8793,1.0202
true,G0I0R0C1,28,20260829,101.6630,100.9491,89.5640,105.0234,91.6383,0.9730
true,G0I0R0C1,29,20260829,99.8756,104.2097,91.3982,103.6101,92.5340,0.9828
true,G0I0R0C1,30,20260829,99.9150,96.9750,91.3713,96.2077,91.6522,1.0743
true,G0I0R1C0,1,20260829,92.8303,99.9909,105.6444,154.4848,100.2216,0.2466
true,G0I0R1C0,2,20260829,91.3673,103.6301,98.9820,159.2931,105.7907,0.1015
true,G0I0R1C0,3,20260829,93.5488,99.6972,100.8653,152.4265,105.8879,0.2319
true,G0I0R1C0,4,20260829,89.4769,95.8910,98.3557,169.6236,102.6221,0.2091
true,G0I0R1C0,5,20260829,91.9218,98.0664,98.0310,164.5607,103.9991,0.2300
true,G0I0R1C0,6,20260829,89.9693,99.9163,96.7186,157.3574,107.4515,0.0937
true,G0I0R1C0,7,20260829,88.5071,101.2103,98.4984,161.6428,106.9590,0.3411
true,G0I0R1C0,8,20260829,91.3789,105.0066,96.4228,172.7162,106.4100,0.1536
true,G0I0R1C0,9,20260829,89.7730,101.6431,97.5545,160.4196,99.4704,0.0539
true,G0I0R1C0,10,20260829,91.8612,102.1420,98.8154,154.7189,108.6841,0.1780
true,G0I0R1C0,11,20260829,89.2448,104.6328,104.4585,157.5638,103.9616,0.2751
true,G0I0R1C0,12,20260829,92.6624,98.1190,98.8916,154.6005,101.7973,0.3017
true,G0I0R1C0,13,20260829,91.8886,97.7258,97.2365,167.1597,104.0993,0.3054
true,G0I0R1C0,14,20260829,92.4519,99.2667,99.8996,155.0706,108.4728,0.1507
true,G0I0R1C0,15,20260829,93.4005,99.0754,99.9057,158.0991,101.9647,0.2702
true,G0I0R1C0,16,20260829,91.7065,97.7915,103.7191,155.0380,107.9810,0.2072
true,G0I0R1C0,17,20260829,88.9943,98.4998,104.5223,167.8617,108.0325,0.2150
true,G0I0R1C0,18,20260829,89.1113,98.4046,99.5648,160.8076,104.7551,0.2810
true,G0I0R1C0,19,20260829,89.0464,99.8534,103.4482,163.4738,105.6354,0.1641
true,G0I0R1C0,20,20260829,90.7004,96.8331,99.4101,156.6289,107.5516,0.2068
true,G0I0R1C0,21,20260829,90.2817,103.9671,97.3682,146.5996,101.0948,0.2618
true,G0I0R1C0,22,20260829,93.4434,102.3856,103.7524,156.3509,105.6834,0.2768
true,G0I0R1C0,23,20260829,92.4177,102.6961,102.8048,164.5040,105.9435,0.1498
true,G0I0R1C0,24,20260829,96.1433,102.1608,100.0796,161.9256,108.0052,0.2546
true,G0I0R1C0,25,20260829,91.5800,100.3089,101.0178,167.6646,106.5551,0.1906
true,G0I0R1C0,26,20260829,90.8326,99.9261,103.7746,157.1783,108.5459,0.1607
true,G0I0R1C0,27,20260829,91.3181,98.7657,99.1072,157.3432,102.9639,0.2431
true,G0I0R1C0,28,20260829,93.0259,102.4855,105.6588,157.9027,104.8694,0.2171
true,G0I0R1C0,29,20260829,89.0890,98.1899,103.3094,162.1883,105.5003,0.1875
true,G0I0R1C0,30,20260829,95.8443,100.4911,96.0044,155.9741,104.0941,0.2454
true,G0I0R1C1,1,20260829,86.5712,102.9676,91.4621,117.5052,97.3056,1.2833
true,G0I0R1C1,2,20260829,89.6470,99.8587,97.5954,130.6131,97.1719,1.2990
true,G0I0R1C1,3,20260829,90.9124,97.7289,85.7716,124.8599,99.7048,1.2374
true,G0I0R1C1,4,20260829,86.6359,103.7029,93.0664,142.6337,93.9437,1.2175
true,G0I0R1C1,5,20260829,88.6790,99.7034,90.1939,131.3009,94.9935,1.0768
true,G0I0R1C1,6,20260829,86.9842,101.7914,89.8031,134.2882,91.0942,1.2634
true,G0I0R1C1,7,20260829,90.5066,101.0352,88.8724,132.9553,98.0806,1.1533
true,G0I0R1C1,8,20260829,89.7302,101.7291,89.5912,133.9928,94.5227,1.0439
true,G0I0R1C1,9,20260829,86.9909,99.5602,91.0695,129.2143,94.1903,1.2256
true,G0I0R1C1,10,20260829,88.5940,102.0351,89.0389,125.7535,97.2728,1.2415
true,G0I0R1C1,11,20260829,90.3341,96.6371,92.5765,111.3610,98.2085,1.2568
true,G0I0R1C1,12,20260829,90.6553,97.1439,89.3334,121.5060,103.3596,1.1557
true,G0I0R1C1,13,20260829,85.8701,97.4237,96.2539,116.9285,97.0535,1.2749
true,G0I0R1C1,14,20260829,89.9687,101.1694,87.2812,127.2279,99.2052,1.0825
true,G0I0R1C1,15,20260829,90.1344,101.6888,88.3270,127.4947,92.5688,1.1010
true,G0I0R1C1,16,20260829,87.7918,97.8785,91.9303,130.6336,98.9946,1.2962
true,G0I0R1C1,17,20260829,91.1773,101.5071,92.5261,129.4222,95.3887,1.1608
true,G0I0R1C1,18,20260829,86.9353,95.6542,91.2329,128.7756,98.2768,1.2737
true,G0I0R1C1,19,20260829,91.0847,101.3249,90.3802,134.6480,95.0036,1.1794
