g,i,r,c,actual_peak_pss_index,actual_allocation_rate_index,actual_gc_p99_index,actual_fault_rate_index,actual_input_p99_index,actual_controller_cpu_pct
0,0,0,0,100,100,100,100,100,0.0
0,0,0,1,98,100,90,100,92,1.0
0,0,1,0,92,100,100,160,105,0.2
0,0,1,1,90,100,90,125,96,1.2
0,1,0,0,93,72,95,100,96,0.1
0,1,0,1,91,72,86,100,89,1.1
0,1,1,0,85,72,95,160,101,0.3
0,1,1,1,83,72,86,125,92,1.3
1,0,0,0,94,100,75,100,90,0.1
1,0,0,1,92,100,68,100,83,1.1
1,0,1,0,86,100,75,160,95,0.3
1,0,1,1,84,100,68,125,86,1.3
1,1,0,0,87,72,71,100,86,0.2
1,1,0,1,85,72,64,100,79,1.2
1,1,1,0,79,72,71,160,91,0.4
1,1,1,1,77,72,64,125,82,1.4
