data_status,synthetic,n_observed,scenario,platform_scenario,treatment,measured_peak_pss_mb,measured_allocation_rate_mb_s,measured_gc_p99_ms,measured_fault_rate_s,measured_input_p99_ms,measured_controller_cpu_pct
measured,true,0,planning_hypothesis,ARM32-scenario,Stock,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,planning_hypothesis,ARM64-scenario,Stock,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,planning_hypothesis,ARM32-scenario,Static-G,225.6,40.0,37.5,80.0,90.0,0
measured,true,0,planning_hypothesis,ARM64-scenario,Static-G,300.8,48.0,30.0,100.0,72.0,0
measured,true,0,planning_hypothesis,ARM32-scenario,Static-GI,208.8,28.8,35.5,80.0,86.0,0
measured,true,0,planning_hypothesis,ARM64-scenario,Static-GI,278.4,34.56,28.4,100.0,68.8,0
measured,true,0,planning_hypothesis,ARM32-scenario,Static-GIR,189.6,28.8,35.5,128.0,91.0,0
measured,true,0,planning_hypothesis,ARM64-scenario,Static-GIR,252.8,34.56,28.4,160.0,72.8,0
measured,true,0,planning_hypothesis,ARM32-scenario,Threshold-GIR,187.2,28.8,33.0,105.6,85.0,0.5
measured,true,0,planning_hypothesis,ARM64-scenario,Threshold-GIR,249.6,34.56,26.4,132.0,68.0,0.5
measured,true,0,planning_hypothesis,ARM32-scenario,EWMA-GIR,184.8,28.8,32.0,100.0,82.0,0.7
measured,true,0,planning_hypothesis,ARM64-scenario,EWMA-GIR,246.4,34.56,25.6,125.0,65.6,0.7
measured,true,0,planning_hypothesis,ARM32-scenario,Ridge-GIR,182.4,28.8,31.0,97.6,80.0,1.1
measured,true,0,planning_hypothesis,ARM64-scenario,Ridge-GIR,243.2,34.56,24.8,122.0,64.0,1.1
measured,true,0,no_benefit,ARM32-scenario,Stock,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,no_benefit,ARM64-scenario,Stock,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,no_benefit,ARM32-scenario,Static-G,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,no_benefit,ARM64-scenario,Static-G,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,no_benefit,ARM32-scenario,Static-GI,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,no_benefit,ARM64-scenario,Static-GI,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,no_benefit,ARM32-scenario,Static-GIR,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,no_benefit,ARM64-scenario,Static-GIR,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,no_benefit,ARM32-scenario,Threshold-GIR,240.0,40.0,50.0,80.0,100.0,0.5
measured,true,0,no_benefit,ARM64-scenario,Threshold-GIR,320.0,48.0,40.0,100.0,80.0,0.5
measured,true,0,no_benefit,ARM32-scenario,EWMA-GIR,240.0,40.0,50.0,80.0,100.0,0.7
measured,true,0,no_benefit,ARM64-scenario,EWMA-GIR,320.0,48.0,40.0,100.0,80.0,0.7
measured,true,0,no_benefit,ARM32-scenario,Ridge-GIR,240.0,40.0,50.0,80.0,100.0,1.1
measured,true,0,no_benefit,ARM64-scenario,Ridge-GIR,320.0,48.0,40.0,100.0,80.0,1.1
measured,true,0,regression,ARM32-scenario,Stock,240.0,40.0,50.0,80.0,100.0,0
measured,true,0,regression,ARM64-scenario,Stock,320.0,48.0,40.0,100.0,80.0,0
measured,true,0,regression,ARM32-scenario,Static-G,252.0,42.0,55.0,128.0,120.0,0
measured,true,0,regression,ARM64-scenario,Static-G,336.0,50.4,44.0,160.0,96.0,0
measured,true,0,regression,ARM32-scenario,Static-GI,252.0,42.0,55.0,128.0,120.0,0
measured,true,0,regression,ARM64-scenario,Static-GI,336.0,50.4,44.0,160.0,96.0,0
measured,true,0,regression,ARM32-scenario,Static-GIR,252.0,42.0,55.0,128.0,120.0,0
measured,true,0,regression,ARM64-scenario,Static-GIR,336.0,50.4,44.0,160.0,96.0,0
measured,true,0,regression,ARM32-scenario,Threshold-GIR,252.0,42.0,55.0,128.0,120.0,1.0
measured,true,0,regression,ARM64-scenario,Threshold-GIR,336.0,50.4,44.0,160.0,96.0,1.0
measured,true,0,regression,ARM32-scenario,EWMA-GIR,252.0,42.0,55.0,128.0,120.0,1.4
measured,true,0,regression,ARM64-scenario,EWMA-GIR,336.0,50.4,44.0,160.0,96.0,1.4
measured,true,0,regression,ARM32-scenario,Ridge-GIR,252.0,42.0,55.0,128.0,120.0,2.2
measured,true,0,regression,ARM64-scenario,Ridge-GIR,336.0,50.4,44.0,160.0,96.0,2.2
