data_status,synthetic,n_observed,scenario,platform_scenario,treatment,metric,measured_value,unit
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,peak_pss_mb,240.0,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,gc_p99_ms,50.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,fault_rate_s,80.0,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,input_p99_ms,100.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,peak_pss_mb,320.0,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,gc_p99_ms,40.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,fault_rate_s,100.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,input_p99_ms,80.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,peak_pss_mb,225.6,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,gc_p99_ms,37.5,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,fault_rate_s,80.0,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,input_p99_ms,90.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,peak_pss_mb,300.8,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,gc_p99_ms,30.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,fault_rate_s,100.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,input_p99_ms,72.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,peak_pss_mb,208.8,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,allocation_rate_mb_s,28.8,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,gc_p99_ms,35.5,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,fault_rate_s,80.0,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,input_p99_ms,86.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,peak_pss_mb,278.4,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,allocation_rate_mb_s,34.56,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,gc_p99_ms,28.4,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,fault_rate_s,100.0,faults/s
