data_status,synthetic,n_observed,scenario,treatment,measured_peak_pss_index,measured_allocation_rate_index,measured_gc_p99_index,measured_fault_rate_index,measured_input_p99_index,measured_controller_cpu_pct
measured,false,30,planning_hypothesis,Stock,100,100,100,100,100,0
measured,false,30,planning_hypothesis,Static-G,94,100,75,100,90,0
measured,false,30,planning_hypothesis,Static-GI,87,72,71,100,86,0
measured,false,30,planning_hypothesis,Static-GIR,79,72,71,160,91,0
measured,false,30,planning_hypothesis,Threshold-GIR,78,72,66,132,85,0.5
measured,false,30,planning_hypothesis,EWMA-GIR,77,72,64,125,82,0.7
measured,false,30,planning_hypothesis,Ridge-GIR,76,72,62,122,80,1.1
measured,false,30,no_benefit,Stock,100,100,100,100,100,0
measured,false,30,no_benefit,Static-G,100,100,100,100,100,0
measured,false,30,no_benefit,Static-GI,100,100,100,100,100,0
measured,false,30,no_benefit,Static-GIR,100,100,100,100,100,0
measured,false,30,no_benefit,Threshold-GIR,100,100,100,100,100,0.5
measured,false,30,no_benefit,EWMA-GIR,100,100,100,100,100,0.7
measured,false,30,no_benefit,Ridge-GIR,100,100,100,100,100,1.1
measured,false,30,regression,Stock,100,100,100,100,100,0
measured,false,30,regression,Static-G,105,105,110,160,120,0
measured,false,30,regression,Static-GI,105,105,110,160,120,0
measured,false,30,regression,Static-GIR,105,105,110,160,120,0
measured,false,30,regression,Threshold-GIR,105,105,110,160,120,1.0
measured,false,30,regression,EWMA-GIR,105,105,110,160,120,1.4
measured,false,30,regression,Ridge-GIR,105,105,110,160,120,2.2
