data_status,synthetic,n_runs,seed,scenario,platform_scenario,treatment,run_id,run_status,peak_pss_mb,allocation_rate_mb_s,gc_p99_ms,fault_rate_s,input_p99_ms,controller_cpu_pct,guard_activations,time_to_latch_s,recovery_time_s,oom_events
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,1,completed,245.98,40.2,52.29,131.8,111.42,2.398,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,2,completed,254.85,42.62,52.03,125.03,126.19,2.331,0,,,1
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,3,completed,259.71,41.55,54.51,129.83,119.71,2.413,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,4,completed,267.19,43.43,52.9,123.52,121.01,2.363,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,5,completed,261.29,42.1,56.72,107.26,111.26,1.918,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,6,completed,255.09,45.72,53.07,123.83,119.0,1.877,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,7,completed,250.03,41.15,54.79,118.88,120.72,1.804,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,8,completed,244.25,38.19,61.31,123.14,119.32,2.345,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,9,completed,245.68,42.87,57.38,128.99,121.31,2.324,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,10,completed,242.89,41.45,58.91,133.83,116.3,2.3,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,11,completed,251.32,40.26,55.45,119.12,124.22,2.028,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,12,completed,236.33,41.2,54.94,135.23,121.06,2.568,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,13,completed,254.99,40.0,56.73,144.2,120.03,2.436,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,14,completed,248.43,40.78,51.27,120.55,121.06,2.539,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,15,completed,262.73,40.78,54.18,118.78,122.33,1.714,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,16,completed,249.78,42.03,51.83,129.53,119.22,2.124,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,17,completed,252.03,44.88,56.46,131.69,120.36,2.31,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,18,completed,245.61,42.0,51.78,128.28,113.53,2.129,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,19,completed,259.0,42.76,54.74,136.97,118.33,2.184,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,20,completed,253.57,44.85,57.04,125.21,119.28,1.989,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,21,completed,246.15,41.4,63.26,125.72,123.34,2.516,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,22,completed,241.39,42.61,57.27,128.74,136.3,2.149,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,23,completed,252.51,43.12,56.21,135.78,123.71,2.392,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,24,completed,249.83,42.94,51.42,118.25,116.8,1.904,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,25,completed,260.91,41.21,52.24,132.79,120.8,2.07,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,26,completed,244.9,41.61,51.8,139.59,119.3,2.337,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,27,completed,256.19,42.07,56.36,132.71,118.5,2.306,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,28,completed,252.88,43.27,59.51,128.91,127.65,2.023,0,,,1
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,29,completed,242.55,43.05,50.94,136.55,115.59,2.083,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR,30,completed,253.94,41.29,54.43,121.31,117.16,1.945,0,,,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,1,completed,249.94,40.25,51.01,80.25,104.54,0.953,2,2.2,8.64,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,2,completed,233.16,43.0,54.41,83.91,112.0,0.804,2,3.98,12.24,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,3,completed,233.65,41.81,56.15,99.05,102.79,0.85,3,3.21,11.7,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,4,completed,251.89,40.78,54.15,92.79,99.61,0.82,2,2.24,9.09,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,5,completed,240.75,41.49,50.81,89.62,106.39,0.988,2,2.55,12.42,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,6,completed,260.31,41.58,54.66,91.43,104.9,0.889,3,2.88,12.93,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,7,completed,254.24,40.39,55.73,87.28,111.9,0.81,2,3.58,11.4,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,8,completed,245.91,43.55,53.72,81.26,101.81,0.982,3,3.21,13.18,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,9,completed,228.12,41.88,50.06,85.19,100.26,0.975,2,1.83,11.67,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,10,completed,250.37,42.08,48.07,86.31,103.42,0.893,1,1.71,9.03,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,11,completed,251.02,39.21,52.62,89.15,106.29,0.988,3,4.47,7.27,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,12,completed,249.79,42.31,51.7,82.68,106.16,0.886,1,2.71,9.79,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,13,completed,252.34,42.28,53.39,86.18,100.43,0.891,3,1.61,13.12,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,14,completed,234.71,39.57,55.32,81.82,104.03,0.822,3,2.02,4.44,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,15,completed,245.54,40.52,52.8,92.72,105.33,1.034,1,2.11,7.94,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,16,completed,261.94,42.71,53.28,89.25,102.6,0.911,2,2.0,11.3,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,17,completed,244.41,42.47,53.69,85.56,102.74,0.881,3,3.78,10.68,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,18,completed,243.51,40.7,51.52,82.62,103.84,0.847,1,2.73,11.69,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,19,completed,232.24,40.58,55.93,92.49,106.76,0.921,2,3.34,11.92,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,20,completed,248.83,38.95,55.6,90.55,109.44,0.989,1,3.7,7.31,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,21,completed,248.91,41.35,55.28,88.1,104.54,0.942,2,2.83,13.23,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,22,completed,253.66,43.66,53.11,78.8,105.63,0.787,2,3.2,11.11,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,23,completed,231.34,44.55,49.65,79.57,101.28,0.894,3,2.77,10.48,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,24,completed,243.8,41.59,54.59,94.55,101.53,0.997,1,3.32,6.61,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,25,completed,246.48,41.27,52.78,90.28,106.98,0.916,3,4.05,9.8,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,26,completed,254.23,41.18,52.58,86.85,99.47,0.938,1,3.87,7.4,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,27,completed,249.09,42.72,49.15,86.09,103.52,0.847,1,2.21,14.3,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,28,completed,234.2,42.83,50.26,86.42,100.31,0.77,2,3.29,6.49,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,29,completed,243.04,42.57,50.12,83.01,104.81,0.996,2,2.23,11.41,0
simulated,True,30,20260201,regression,ARM32-scenario,Ridge-GIR-sup,30,completed,259.69,41.18,54.27,90.9,98.97,0.906,2,2.82,7.58,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,1,completed,344.61,51.92,45.4,164.5,91.44,1.928,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,2,completed,336.5,50.51,43.35,169.94,97.53,2.327,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,3,completed,333.2,51.5,44.93,168.09,100.15,2.173,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,4,completed,349.7,51.01,43.08,160.68,98.45,2.205,0,,,1
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,5,completed,330.09,52.07,41.25,142.79,91.98,2.465,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,6,completed,341.23,48.85,43.11,168.63,88.17,2.108,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,7,completed,340.82,51.62,46.86,180.75,93.57,2.443,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,8,completed,342.53,49.65,41.34,157.4,97.56,2.029,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,9,completed,341.0,51.41,44.33,147.89,86.04,2.259,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,10,completed,327.19,50.99,40.65,164.34,92.1,2.011,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,11,completed,346.44,48.86,44.78,169.54,90.04,2.275,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,12,completed,328.86,52.6,42.14,169.68,95.53,2.377,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,13,completed,343.47,52.44,42.65,155.46,95.96,2.318,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,14,completed,330.58,50.32,45.03,182.53,93.17,2.054,0,,,0
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,15,completed,337.68,48.95,40.6,147.04,93.31,2.272,0,,,1
simulated,True,30,20260201,regression,ARM64-scenario,Ridge-GIR,16,completed,352.49,50.28,44.81,144.53,93.62,2.479,0,,,0
