data_status,synthetic,n_runs,seed,scenario,platform_scenario,treatment,run_id,run_status,peak_pss_mb,allocation_rate_mb_s,gc_p99_ms,fault_rate_s,input_p99_ms,controller_cpu_pct
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,completed,243.871,39.094,49.186,79.007,93.329,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,completed,239.819,42.82,50.329,83.309,98.601,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,completed,248.068,37.47,49.449,82.518,99.153,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,completed,238.164,40.289,56.48,85.785,109.59,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,completed,239.313,39.346,49.634,89.253,105.469,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,completed,242.372,40.428,52.001,84.891,93.666,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,completed,241.731,39.839,49.846,68.982,87.297,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,8,completed,234.641,42.287,42.705,75.082,103.93,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,9,completed,245.96,40.364,49.214,83.28,101.41,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,10,completed,249.188,41.917,45.172,76.724,96.853,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,11,completed,233.005,40.965,53.863,74.57,96.756,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,12,completed,231.616,37.879,51.098,78.141,94.307,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,13,completed,243.444,40.774,51.166,80.237,95.224,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,14,completed,241.31,40.924,45.856,82.862,98.036,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,15,completed,231.536,41.351,50.065,77.924,99.297,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,16,completed,240.938,40.431,49.669,72.382,100.713,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,17,completed,236.554,39.984,48.046,76.004,101.499,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,18,completed,238.651,39.389,48.936,81.587,98.999,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,19,completed,241.106,42.261,56.598,75.97,111.099,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,20,completed,244.13,40.543,49.879,73.983,97.641,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,21,completed,252.123,40.083,52.003,75.739,99.53,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,22,completed,247.508,41.315,45.817,80.105,98.328,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,23,completed,240.796,40.992,50.779,76.95,97.195,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,24,completed,246.287,39.576,52.954,82.098,93.191,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,25,completed,234.977,38.842,53.789,81.47,100.326,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,26,completed,234.837,40.592,46.621,84.88,92.627,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,27,completed,245.187,39.25,50.21,91.515,95.455,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,28,completed,239.32,38.447,48.478,85.865,97.429,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,29,completed,242.495,40.804,46.183,81.999,108.812,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,30,completed,259.533,40.502,44.512,82.036,91.321,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,1,completed,320.906,48.541,35.977,101.465,83.644,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,2,completed,312.467,47.937,46.036,108.758,82.723,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,3,completed,319.234,50.649,40.761,80.752,82.392,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,4,completed,325.54,52.069,40.771,99.983,78.85,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,5,completed,305.518,47.857,34.687,100.664,83.462,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,6,completed,330.863,49.36,36.245,93.127,76.861,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,7,completed,326.507,48.128,41.581,97.401,81.944,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,8,completed,320.322,47.352,41.324,106.455,81.303,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,9,completed,310.385,49.488,37.96,100.548,75.421,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,10,completed,320.099,45.221,39.133,99.12,74.737,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,11,completed,324.151,52.708,36.831,103.325,86.723,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,12,completed,302.444,49.331,34.216,103.295,82.685,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,13,completed,323.055,46.986,41.328,103.709,76.602,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,14,completed,325.435,48.331,41.699,99.752,82.573,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,15,completed,318.975,44.665,38.503,96.792,84.913,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,16,completed,323.453,49.858,39.835,87.687,76.292,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,17,completed,321.434,47.87,39.031,100.753,82.858,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,18,completed,319.085,45.634,39.677,92.929,81.19,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,19,completed,329.738,45.984,39.482,101.53,83.493,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,20,completed,318.856,47.982,42.464,96.076,75.56,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,21,completed,325.975,47.401,44.163,91.686,76.677,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,22,completed,324.493,47.078,42.467,98.934,84.965,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,23,completed,324.231,50.301,42.904,99.986,79.814,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,24,completed,295.362,48.981,40.096,109.192,83.005,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,25,completed,306.408,47.501,41.021,99.49,77.813,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,26,completed,333.991,49.118,39.587,99.1,84.124,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,27,completed,322.515,48.047,35.864,95.248,76.928,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,28,completed,311.869,46.842,41.782,94.104,78.411,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,29,completed,304.325,48.193,36.844,105.453,81.091,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,30,completed,312.186,47.647,42.012,124.086,80.145,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,1,completed,219.216,41.262,37.583,82.792,83.36,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,2,completed,221.572,39.018,42.567,79.378,84.676,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,3,completed,222.606,38.425,34.908,89.376,89.799,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,4,completed,222.09,40.881,39.07,80.7,91.552,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,5,completed,232.68,40.213,36.082,72.955,88.08,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,6,completed,223.762,39.31,38.002,71.431,98.855,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,7,completed,219.353,39.192,39.535,78.68,87.787,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,8,completed,224.034,44.629,37.312,81.356,97.379,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,9,completed,229.319,41.956,38.945,78.828,95.029,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,10,completed,225.865,38.495,36.561,79.194,95.724,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,11,completed,224.886,39.801,34.184,77.053,87.434,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,12,completed,227.251,40.385,35.717,70.324,89.589,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,13,completed,219.836,40.96,38.904,83.989,96.231,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,14,completed,230.778,42.079,40.578,80.318,90.306,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,15,completed,234.137,39.713,38.146,81.157,97.787,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,16,completed,226.605,41.23,37.108,69.926,88.097,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,17,completed,223.021,39.818,39.052,76.948,81.641,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,18,completed,220.286,36.758,35.924,85.879,89.088,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,19,completed,226.421,36.534,38.766,84.896,89.185,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,20,completed,227.388,41.759,40.476,79.342,86.85,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,21,completed,219.896,41.515,35.013,77.992,93.977,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,22,completed,219.47,39.345,37.463,75.449,90.268,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,23,completed,236.966,42.517,37.439,79.002,93.982,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,24,completed,222.564,40.701,39.076,74.868,87.618,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,25,completed,234.212,39.327,36.395,78.288,96.179,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,26,completed,232.664,38.841,36.135,75.932,92.881,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,27,completed,230.911,40.867,36.331,78.043,92.0,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,28,completed,223.671,39.601,36.89,90.308,94.73,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,29,completed,224.069,39.106,36.188,83.776,89.757,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,30,completed,232.444,41.783,35.438,88.246,88.176,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,1,completed,289.969,45.783,29.079,91.645,71.455,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,2,completed,292.445,43.444,31.475,94.962,63.484,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,3,completed,289.671,48.276,32.381,93.773,69.11,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,4,completed,318.782,47.543,31.194,91.629,72.129,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,5,completed,298.031,45.474,32.653,105.083,74.569,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,6,completed,295.936,50.772,33.858,104.376,71.092,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,7,completed,305.858,47.936,33.4,108.351,69.795,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,8,completed,315.423,48.634,27.369,104.666,65.212,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,9,completed,300.641,47.464,33.254,116.914,75.236,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,10,completed,304.555,50.625,29.973,88.075,73.34,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,11,completed,301.832,48.892,31.464,105.542,73.805,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,12,completed,299.053,49.522,27.628,93.437,70.703,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,13,completed,293.853,46.746,28.37,101.023,66.704,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,14,completed,295.764,44.068,29.861,96.863,72.635,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,15,completed,295.56,50.538,29.059,100.573,75.447,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,16,completed,293.227,46.817,28.389,89.814,76.664,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,17,completed,307.711,45.689,29.833,95.561,67.607,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,18,completed,310.177,49.119,28.922,102.712,74.654,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,19,completed,298.505,48.371,32.382,104.586,73.133,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,20,completed,313.969,47.345,29.616,99.721,75.672,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,21,completed,299.42,48.671,28.452,109.467,69.732,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,22,completed,303.088,46.965,32.987,88.971,74.077,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,23,completed,303.457,47.181,29.169,98.151,66.479,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,24,completed,295.62,46.207,32.551,105.271,69.198,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,25,completed,313.081,50.18,31.248,95.176,73.868,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,26,completed,289.067,44.205,28.032,94.891,78.769,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,27,completed,300.644,48.801,31.551,104.104,69.782,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,28,completed,298.532,47.566,26.791,104.03,69.441,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,29,completed,292.019,52.355,30.896,103.184,76.378,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,30,completed,298.56,46.246,27.711,92.315,70.711,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,1,completed,205.977,29.896,36.396,79.742,86.971,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,2,completed,209.959,28.501,36.018,92.058,89.048,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,3,completed,204.131,28.98,37.135,77.303,86.127,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,4,completed,208.978,28.768,35.626,82.286,79.786,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,5,completed,208.72,28.435,33.985,72.505,84.162,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,6,completed,212.762,28.12,40.074,81.54,92.292,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,7,completed,223.178,27.927,36.547,85.785,84.705,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,8,completed,218.829,29.733,33.234,80.792,88.93,0.0
