data_status,synthetic,n_runs_assumed,simulation_seed,scenario,treatment,run_id,simulated_peak_pss_index,simulated_allocation_rate_index,simulated_gc_p99_index,simulated_fault_rate_index,simulated_input_p99_index,simulated_controller_cpu_pct
measured,false,30,20250902,no_benefit,Stock,1,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,2,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,3,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,4,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,5,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,6,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,7,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,8,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,9,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,10,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,11,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,12,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,13,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,14,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,15,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,16,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,17,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,18,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,19,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,20,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,21,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,22,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,23,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,24,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,25,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,26,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,27,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,28,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,29,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Stock,30,100.0,100.0,100.0,100.0,100.0,0.0
measured,false,30,20250902,no_benefit,Static-G,1,100.567,100.311,112.829,109.717,98.173,0.0
measured,false,30,20250902,no_benefit,Static-G,2,101.559,97.551,107.043,93.147,97.803,0.0
measured,false,30,20250902,no_benefit,Static-G,3,97.882,97.648,102.093,91.593,95.595,0.0
measured,false,30,20250902,no_benefit,Static-G,4,101.187,96.706,96.605,108.838,102.95,0.0
measured,false,30,20250902,no_benefit,Static-G,5,104.394,100.365,100.129,108.567,97.735,0.0
measured,false,30,20250902,no_benefit,Static-G,6,99.349,96.892,106.102,114.11,105.961,0.0
measured,false,30,20250902,no_benefit,Static-G,7,99.365,92.936,102.65,99.732,103.64,0.0
measured,false,30,20250902,no_benefit,Static-G,8,101.808,96.659,89.662,97.01,100.127,0.0
measured,false,30,20250902,no_benefit,Static-G,9,104.196,99.233,107.353,99.717,99.694,0.0
measured,false,30,20250902,no_benefit,Static-G,10,97.054,103.556,106.072,98.84,101.498,0.0
measured,false,30,20250902,no_benefit,Static-G,11,102.898,101.496,96.419,107.408,109.156,0.0
measured,false,30,20250902,no_benefit,Static-G,12,99.054,111.079,109.774,100.704,93.266,0.0
