data_status,synthetic,n,simulation_seed,scenario,platform_scenario,treatment,metric,mean,stddev,ci95_low,ci95_high,unit
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,peak_pss_mb,241.616,6.1887,239.3051,243.9269,MiB
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,allocation_rate_mb_s,40.2919,1.2528,39.8241,40.7597,MiB/s
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,gc_p99_ms,49.6846,3.2607,48.4671,50.9021,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,fault_rate_s,80.1716,5.0341,78.2918,82.0514,faults/s
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,input_p99_ms,98.5694,5.3532,96.5705,100.5684,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,controller_cpu_pct,0.0,0.0,0.0,0.0,percent
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,peak_pss_mb,318.6607,9.1246,315.2535,322.0679,MiB
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,allocation_rate_mb_s,48.2353,1.8028,47.5622,48.9085,MiB/s
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,gc_p99_ms,39.8094,2.8123,38.7592,40.8595,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,fault_rate_s,99.7133,7.5041,96.9113,102.5154,faults/s
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,input_p99_ms,80.5733,3.3402,79.3261,81.8205,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Stock,controller_cpu_pct,0.0,0.0,0.0,0.0,percent
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,peak_pss_mb,225.9324,5.1644,224.004,227.8608,MiB
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,allocation_rate_mb_s,40.2007,1.6837,39.572,40.8294,MiB/s
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,gc_p99_ms,37.5263,1.9052,36.8148,38.2377,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,fault_rate_s,79.5475,5.161,77.6204,81.4747,faults/s
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,input_p99_ms,90.9339,4.3672,89.3032,92.5646,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-G,controller_cpu_pct,0.0,0.0,0.0,0.0,percent
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,peak_pss_mb,300.4817,7.9,297.5318,303.4316,MiB
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,allocation_rate_mb_s,47.7145,2.0988,46.9308,48.4982,MiB/s
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,gc_p99_ms,30.3183,2.0486,29.5533,31.0832,ms
measured_summary,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-G,fault_rate_s,99.4955,6.9288,96.9083,102.0828,faults/s
