data_status,synthetic,n_runs,seed,scenario,platform_scenario,treatment,run_id,run_status,peak_pss_mb,allocation_rate_mb_s,gc_p99_ms,fault_rate_s,input_p99_ms,controller_cpu_pct,guard_activations,time_to_latch_s,recovery_time_s,oom_events
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,1,completed,240.17,41.26,50.22,134.54,116.82,2.072,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,2,completed,265.76,42.58,51.37,130.84,118.76,2.064,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,3,completed,258.79,43.69,56.18,120.08,122.74,2.225,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,4,completed,267.39,44.7,53.95,131.36,118.32,2.073,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,5,completed,262.19,42.39,56.26,131.22,118.97,2.212,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,6,completed,256.01,46.42,51.75,129.55,118.66,2.081,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,7,completed,255.95,41.75,56.88,130.12,122.39,2.139,0,,,1
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,8,completed,245.47,39.68,64.01,131.98,121.93,2.09,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,9,completed,243.38,43.64,57.63,125.34,118.68,2.096,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,10,completed,245.74,40.77,58.21,125.25,122.02,2.008,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,11,completed,256.64,42.29,53.14,130.86,117.89,2.024,0,,,0
measured,FALSE,30,20260913,regression,ARM32-scenario,Ridge-GIR,12,completed,235.01,41.41,55.57,120.96,121.15,2.141,0,,,0
